sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C43265","156s","INWK.EStore.srprofile","Retest","Automated"
"C43265","170s","INWK.EStore.srprofile","Retest","Automated"
"C43265","129s","INWK.EStore.srprofile","Retest","Automated"
"C43265","359s","INWK.EStore.srprofile","Retest","Automated"
"C43265","155s","INWK.EStore.srprofile","Retest","Automated"
"C43265","339s","INWK.EStore.srprofile","Retest","Automated"
"C43265","","INWK.EStore.srprofile","","Automated"
"C339096","318s","","Passed","To Be Automated"
"C339096","","","","To Be Automated"
"C339097","361s","","Passed","To Be Automated"
"C339097","","","","To Be Automated"
"C2781","60s","INWK.EStore.srprofile","Passed","Automated"
"C2781","70s","INWK.EStore.srprofile","Retest","Automated"
"C2781","72s","INWK.EStore.srprofile","Retest","Automated"
"C2781","72s","INWK.EStore.srprofile","Retest","Automated"
"C2781","","INWK.EStore.srprofile","","Automated"
"C31307","220s","","Passed","Manual Only"
"C31307","","","","Manual Only"
"C31309","100s","INWK.EStore.srprofile","Passed","Automated"
"C31309","","INWK.EStore.srprofile","","Automated"
"C17978","566s","","Passed","Manual Only"
"C17978","","","","Manual Only"
"C17980","252s","","Passed","Manual Only"
"C17980","","","","Manual Only"
"C17979","482s","","Passed","Manual Only"
"C17979","","","","Manual Only"
"C17981","962s","","Passed","Manual Only"
"C17981","","","","Manual Only"
"C2843","257s","INWK.EStore.srprofile","Passed","Automated"
"C2843","","INWK.EStore.srprofile","","Automated"
"C2821","141s","INWK.EStore.srprofile","Passed","Automated"
"C2821","","INWK.EStore.srprofile","","Automated"
"C2820","59s","","Passed","Manual Only"
"C2820","","","","Manual Only"
"C2823","267s","","Passed","Manual Only"
"C2823","","","","Manual Only"
"C2825","156s","","Passed","Manual Only"
"C2825","","","","Manual Only"
"C56844","57s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56844","","INWK.EStore.srprofile","","To Be Automated"
"C56845","74s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56845","","INWK.EStore.srprofile","","To Be Automated"
"C2826","130s","INWK.EStore.srprofile","Passed","Automated"
"C2826","","INWK.EStore.srprofile","","Automated"
"C2828","64s","","Passed","Manual Only"
"C2828","","","","Manual Only"
"C2830","63s","","Passed","Manual Only"
"C2830","","","","Manual Only"
"C2831","347s","","Passed","Manual Only"
"C2831","","","","Manual Only"
