sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C43209","327s","INWK.EStore.srprofile","Retest","Automated"
"C43209","237s","INWK.EStore.srprofile","Retest","Automated"
"C43209","216s","INWK.EStore.srprofile","Retest","Automated"
"C43209","459s","INWK.EStore.srprofile","Retest","Automated"
"C43209","313s","INWK.EStore.srprofile","Retest","Automated"
"C43209","328s","INWK.EStore.srprofile","Retest","Automated"
"C43209","246s","INWK.EStore.srprofile","Retest","Automated"
"C43209","330s","INWK.EStore.srprofile","Retest","Automated"
"C43209","","INWK.EStore.srprofile","","Automated"
"C43209","","INWK.EStore.srprofile","","Automated"
"C43359","725s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43359","","INWK.EStore.srprofile","","To Be Automated"
"C48465","70s","INWK.EStore.srprofile","Passed","Automated"
"C48465","81s","INWK.EStore.srprofile","Passed","Automated"
"C48465","","INWK.EStore.srprofile","","Automated"
"C48465","","INWK.EStore.srprofile","","Automated"
"C328051","809s","","Passed","To Be Automated"
"C328051","","","","To Be Automated"
"C42233","70s","INWK.EStore.srprofile","Passed","Automated"
"C42233","66s","INWK.EStore.srprofile","Passed","Automated"
"C42233","","INWK.EStore.srprofile","","Automated"
"C42233","","INWK.EStore.srprofile","","Automated"
"C43211","1458s","INWK.EStore.srprofile","Passed","Automated"
"C43211","326s","INWK.EStore.srprofile","Retest","Automated"
"C43211","1490s","INWK.EStore.srprofile","Passed","Automated"
"C43211","1149s","INWK.EStore.srprofile","Retest","Automated"
"C43211","669s","INWK.EStore.srprofile","Retest","Automated"
"C43211","248s","INWK.EStore.srprofile","Retest","Automated"
"C43211","458s","INWK.EStore.srprofile","Retest","Automated"
"C43211","326s","INWK.EStore.srprofile","Retest","Automated"
"C43211","","INWK.EStore.srprofile","","Automated"
"C43211","","INWK.EStore.srprofile","","Automated"
"C43360","960s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43360","","INWK.EStore.srprofile","","To Be Automated"
"C328052","311s","","Passed","To Be Automated"
"C328052","","","","To Be Automated"
"C42234","71s","INWK.EStore.srprofile","Passed","Automated"
"C42234","79s","INWK.EStore.srprofile","Passed","Automated"
"C42234","","INWK.EStore.srprofile","","Automated"
"C42234","","INWK.EStore.srprofile","","Automated"
"C43217","575s","INWK.EStore.srprofile","Passed","Automated"
"C43217","645s","INWK.EStore.srprofile","Passed","Automated"
"C43217","99s","INWK.EStore.srprofile","Retest","Automated"
"C43217","497s","INWK.EStore.srprofile","Retest","Automated"
"C43217","","INWK.EStore.srprofile","","Automated"
"C43217","","INWK.EStore.srprofile","","Automated"
"C43367","419s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43367","","INWK.EStore.srprofile","","To Be Automated"
"C328059","393s","","Passed","To Be Automated"
"C328059","","","","To Be Automated"
"C43563","548s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43563","","INWK.EStore.srprofile","","To Be Automated"
"C43212","62s","INWK.EStore.srprofile","Passed","Automated"
"C43212","59s","INWK.EStore.srprofile","Passed","Automated"
"C43212","60s","INWK.EStore.srprofile","Retest","Automated"
"C43212","73s","INWK.EStore.srprofile","Passed","Automated"
"C43212","72s","INWK.EStore.srprofile","Retest","Automated"
"C43212","","INWK.EStore.srprofile","","Automated"
"C43212","","INWK.EStore.srprofile","","Automated"
"C43214","266s","","Passed","Manual Only"
"C43214","","","","Manual Only"
"C43265","137s","INWK.EStore.srprofile","Passed","Automated"
"C43265","166s","INWK.EStore.srprofile","Passed","Automated"
"C43265","349s","INWK.EStore.srprofile","Retest","Automated"
"C43265","","INWK.EStore.srprofile","","Automated"
"C43265","","INWK.EStore.srprofile","","Automated"
"C339096","321s","","Passed","To Be Automated"
"C339096","","","","To Be Automated"
"C339097","521s","","Passed","To Be Automated"
"C339097","","","","To Be Automated"
"C2781","67s","INWK.EStore.srprofile","Passed","Automated"
"C2781","","INWK.EStore.srprofile","","Automated"
"C2781","","INWK.EStore.srprofile","","Automated"
"C31307","619s","","Passed","Manual Only"
"C31307","","","","Manual Only"
"C31309","132s","INWK.EStore.srprofile","Passed","Automated"
"C31309","","INWK.EStore.srprofile","","Automated"
"C31309","","INWK.EStore.srprofile","","Automated"
"C17978","339s","","Passed","Manual Only"
"C17978","","","","Manual Only"
"C17980","596s","","Passed","Manual Only"
"C17980","","","","Manual Only"
"C17979","794s","","Passed","Manual Only"
"C17979","","","","Manual Only"
"C17981","788s","","Passed","Manual Only"
"C17981","","","","Manual Only"
"C2843","175s","INWK.EStore.srprofile","Passed","Automated"
"C2843","","INWK.EStore.srprofile","","Automated"
"C2843","","INWK.EStore.srprofile","","Automated"
"C2821","187s","INWK.EStore.srprofile","Passed","Automated"
"C2821","","INWK.EStore.srprofile","","Automated"
"C2821","","INWK.EStore.srprofile","","Automated"
"C2820","179s","","Passed","Manual Only"
"C2820","","","","Manual Only"
"C2823","170s","","Passed","Manual Only"
"C2823","","","","Manual Only"
"C2825","65s","","Passed","Manual Only"
"C2825","","","","Manual Only"
"C56844","281s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56844","","INWK.EStore.srprofile","","To Be Automated"
"C56845","19s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56845","","INWK.EStore.srprofile","","To Be Automated"
"C2826","140s","INWK.EStore.srprofile","Passed","Automated"
"C2826","","INWK.EStore.srprofile","","Automated"
"C2826","","INWK.EStore.srprofile","","Automated"
"C2828","101s","","Passed","Manual Only"
"C2828","","","","Manual Only"
"C2830","90s","","Passed","Manual Only"
"C2830","","","","Manual Only"
"C2831","342s","","Passed","Manual Only"
"C2831","","","","Manual Only"
"C5556","74s","INWK.EStore.srprofile","Passed","Automated"
"C5556","","INWK.EStore.srprofile","","Automated"
"C5556","","INWK.EStore.srprofile","","Automated"
"C56839","157s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56839","","INWK.EStore.srprofile","","To Be Automated"
"C56840","159s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56840","","INWK.EStore.srprofile","","To Be Automated"
"C2835","589s","INWK.EStore.srprofile","Passed","Automated"
"C2835","","INWK.EStore.srprofile","","Automated"
"C2835","","INWK.EStore.srprofile","","Automated"
"C2836","495s","INWK.EStore.srprofile","Passed","To Be Automated"
"C2836","","INWK.EStore.srprofile","","To Be Automated"
"C56859","167s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56859","","INWK.EStore.srprofile","","To Be Automated"
"C56860","244s","INWK.EStore.srprofile","Passed","Automated"
"C56860","","INWK.EStore.srprofile","","Automated"
"C56860","","INWK.EStore.srprofile","","Automated"
"C56861","235s","","Passed","Manual Only"
"C56861","","","","Manual Only"
"C56864","387s","","Passed","Manual Only"
"C56864","","","","Manual Only"
"C105657","130s","","Passed","To Be Automated"
"C105657","","","","To Be Automated"
"C105658","149s","","Passed","To Be Automated"
"C105658","","","","To Be Automated"
"C105659","88s","","Passed","To Be Automated"
"C105659","","","","To Be Automated"
"C105660","83s","","Passed","To Be Automated"
"C105660","","","","To Be Automated"
"C31311","115s","INWK.EStore.srprofile","Passed","To Be Automated"
"C31311","","INWK.EStore.srprofile","","To Be Automated"
"C31312","471s","INWK.EStore.srprofile","Passed","Automated"
"C31312","","INWK.EStore.srprofile","","Automated"
"C31312","","INWK.EStore.srprofile","","Automated"
"C2888","135s","","Passed","To Be Automated"
"C2888","","","","To Be Automated"
"C2889","117s","INWK.EStore.srprofile","Passed","Automated"
"C2889","","INWK.EStore.srprofile","","Automated"
"C2889","","INWK.EStore.srprofile","","Automated"
"C2890","84s","INWK.EStore.srprofile","Passed","Automated"
"C2890","","INWK.EStore.srprofile","","Automated"
"C2890","","INWK.EStore.srprofile","","Automated"
"C31322","91s","INWK.EStore.srprofile","Passed","Automated"
"C31322","","INWK.EStore.srprofile","","Automated"
"C31322","","INWK.EStore.srprofile","","Automated"
"C122120","382s","","Passed","To Be Automated"
"C122120","","","","To Be Automated"
"C122121","255s","","Passed","To Be Automated"
"C122121","","","","To Be Automated"
"C122122","208s","","Passed","To Be Automated"
"C122122","","","","To Be Automated"
"C2892","488s","INWK.EStore.srprofile","Passed","Automated"
"C2892","","INWK.EStore.srprofile","","Automated"
"C2892","","INWK.EStore.srprofile","","Automated"
"C2893","498s","INWK.EStore.srprofile","Passed","Automated"
"C2893","","INWK.EStore.srprofile","","Automated"
"C2893","","INWK.EStore.srprofile","","Automated"
"C2895","165s","","Passed","Manual Only"
"C2895","","","","Manual Only"
"C31334","234s","","Passed","Manual Only"
"C31334","","","","Manual Only"
"C31329","254s","","Passed","Manual Only"
"C31329","","","","Manual Only"
"C31330","204s","","Passed","Manual Only"
"C31330","","","","Manual Only"
"C31331","599s","INWK.EStore.srprofile","Passed","Automated"
"C31331","251s","INWK.EStore.srprofile","Retest","Automated"
"C31331","","INWK.EStore.srprofile","","Automated"
"C31331","","INWK.EStore.srprofile","","Automated"
"C328012","202s","","Passed","To Be Automated"
"C328012","","","","To Be Automated"
"C328013","206s","","Passed","To Be Automated"
"C328013","","","","To Be Automated"
"C31333","241s","INWK.EStore.srprofile","Passed","Automated"
"C31333","","INWK.EStore.srprofile","","Automated"
"C31333","","INWK.EStore.srprofile","","Automated"
"C31335","508s","INWK.EStore.srprofile","Passed","Automated"
"C31335","","INWK.EStore.srprofile","","Automated"
"C31335","","INWK.EStore.srprofile","","Automated"
"C31336","483s","INWK.EStore.srprofile","Passed","Automated"
"C31336","","INWK.EStore.srprofile","","Automated"
"C31336","","INWK.EStore.srprofile","","Automated"
"C31337","518s","INWK.EStore.srprofile","Passed","Automated"
"C31337","","INWK.EStore.srprofile","","Automated"
"C31337","","INWK.EStore.srprofile","","Automated"
"C56854","1238s","","Passed","Manual Only"
"C56854","","","","Manual Only"
"C56855","620s","INWK.EStore.srprofile","Passed","Automated"
"C56855","298s","INWK.EStore.srprofile","Retest","Automated"
"C56855","389s","INWK.EStore.srprofile","Retest","Automated"
"C56855","122s","INWK.EStore.srprofile","Retest","Automated"
"C56855","98s","INWK.EStore.srprofile","Retest","Automated"
"C56855","480s","INWK.EStore.srprofile","Retest","Automated"
"C56855","","INWK.EStore.srprofile","","Automated"
"C56855","","INWK.EStore.srprofile","","Automated"
"C122169","369s","","Passed","To Be Automated"
"C122169","","","","To Be Automated"
"C122170","375s","","Passed","To Be Automated"
"C122170","","","","To Be Automated"
"C31323","21s","INWK.EStore.srprofile","Passed","Automated"
"C31323","","INWK.EStore.srprofile","","Automated"
"C31323","","INWK.EStore.srprofile","","Automated"
"C31324","42s","INWK.EStore.srprofile","Passed","Automated"
"C31324","","INWK.EStore.srprofile","","Automated"
"C31324","","INWK.EStore.srprofile","","Automated"
"C31326","317s","","Passed","Manual Only"
"C31326","","","","Manual Only"
"C31327","241s","","Passed","Manual Only"
"C31327","","","","Manual Only"
"C31356","225s","","Passed","Manual Only"
"C31356","","","","Manual Only"
"C31358","137s","","Passed","Manual Only"
"C31358","","","","Manual Only"
"C31328","67s","INWK.EStore.srprofile","Passed","Automated"
"C31328","","INWK.EStore.srprofile","","Automated"
"C31328","","INWK.EStore.srprofile","","Automated"
"C31325","441s","","Passed","Manual Only"
"C31325","","","","Manual Only"
"C2907","114s","","Passed","Manual Only"
"C2907","","","","Manual Only"
"C2908","351s","","Passed","Manual Only"
"C2908","","","","Manual Only"
"C2910","357s","","Passed","Manual Only"
"C2910","","","","Manual Only"
"C2911","328s","","Passed","Manual Only"
"C2911","","","","Manual Only"
"C2912","326s","","Passed","Manual Only"
"C2912","","","","Manual Only"
"C2913","229s","","Passed","Manual Only"
"C2913","","","","Manual Only"
"C2914","327s","","Passed","Manual Only"
"C2914","","","","Manual Only"
"C2916","238s","","Passed","Manual Only"
"C2916","","","","Manual Only"
"C4840","245s","","Passed","Manual Only"
"C4840","","","","Manual Only"
"C2917","239s","","Passed","Manual Only"
"C2917","","","","Manual Only"
"C2915","233s","","Passed","Manual Only"
"C2915","","","","Manual Only"
"C4709","422s","INWK.EStore.srprofile","Passed","Automated"
"C4709","","INWK.EStore.srprofile","","Automated"
"C4709","","INWK.EStore.srprofile","","Automated"
"C4710","1108s","INWK.EStore.srprofile","Passed","Automated"
