sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C31294","303s","","Passed","Manual Only"
"C31294","","","","Manual Only"
"C31285","147s","","Passed","Manual Only"
"C31285","","","","Manual Only"
"C31287","529s","","Passed","Manual Only"
"C31287","","","","Manual Only"
"C31288","172s","","Passed","Manual Only"
"C31288","","","","Manual Only"
"C31289","121s","","Passed","Manual Only"
"C31289","","","","Manual Only"
"C31290","184s","","Passed","Manual Only"
"C31290","","","","Manual Only"
"C34056","327s","","Passed","Manual Only"
"C34056","","","","Manual Only"
"C31286","3s","","Passed","Manual Only"
"C31286","","","","Manual Only"
"C64134","123s","","Passed","Manual Only"
"C64134","","","","Manual Only"
"C31291","15s","","Passed","Manual Only"
"C31291","","","Passed","Manual Only"
"C31291","","","","Manual Only"
"C31292","131s","INWK.EStore.srprofile","Passed","Automated"
"C31292","","INWK.EStore.srprofile","","Automated"
"C31293","92s","INWK.EStore.srprofile","Passed","Automated"
"C31293","","INWK.EStore.srprofile","","Automated"
"C4667","138s","INWK.EStore.srprofile","Passed","Automated"
"C4667","","INWK.EStore.srprofile","","Automated"
"C","234s","INWK.EStore.srprofile","Passed","Automated"
"C","","INWK.EStore.srprofile","","Automated"
"C4668","309s","","Passed","Manual Only"
"C4668","","","Passed","Manual Only"
"C4668","","","","Manual Only"
"C2771","36s","","Passed","Manual Only"
"C2771","","","Passed","Manual Only"
"C2771","","","","Manual Only"
"C2773","123s","","Passed","Manual Only"
"C2773","","","","Manual Only"
"C31284","78s","INWK.EStore.srprofile","Passed","Automated"
"C31284","","INWK.EStore.srprofile","","Automated"
"C3100","194s","INWK.EStore.srprofile","Passed","Automated"
"C3100","","INWK.EStore.srprofile","","Automated"
"C3101","43s","","Passed","Manual Only"
"C3101","","","","Manual Only"
"C3102","2234s","","Passed","Manual Only"
"C3102","","","","Manual Only"
"C3107","","","Passed","Manual Only"
"C3107","1674s","","Failed","Manual Only"
"C3107","","","","Manual Only"
"C3108","373s","","Passed","Manual Only"
"C3108","","","Blocked","Manual Only"
"C3108","","","","Manual Only"
"C3103","29s","","Passed","Manual Only"
"C3103","","","","Manual Only"
"C3104","541s","","Passed","Manual Only"
"C3104","","","","Manual Only"
"C3105","793s","","Passed","Manual Only"
"C3105","","","","Manual Only"
"C31295","13s","","Passed","Manual Only"
"C31295","","","","Manual Only"
"C31296","74s","","Passed","Manual Only"
"C31296","","","","Manual Only"
"C31301","51s","","Passed","Manual Only"
"C31301","","","","Manual Only"
"C31297","115s","INWK.EStore.srprofile","Passed","Automated"
"C31297","","INWK.EStore.srprofile","","Automated"
