sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C31294","424s","","Passed","Manual Only"
"C31294","","","","Manual Only"
"C31285","162s","","Passed","Manual Only"
"C31285","","","","Manual Only"
"C31287","875s","","Passed","Manual Only"
"C31287","","","","Manual Only"
"C31288","172s","","Passed","Manual Only"
"C31288","","","","Manual Only"
"C31289","184s","","Passed","Manual Only"
"C31289","","","","Manual Only"
"C31290","137s","","Passed","Manual Only"
"C31290","","","","Manual Only"
"C34056","197s","","Passed","Manual Only"
"C34056","","","","Manual Only"
"C31286","2189s","","Passed","Manual Only"
"C31286","","","","Manual Only"
"C64134","203s","","Passed","Manual Only"
"C64134","","","","Manual Only"
"C31291","61s","","Passed","Manual Only"
"C31291","","","","Manual Only"
"C31292","69s","INWK.EStore.srprofile","Passed","Automated"
"C31292","61s","INWK.EStore.srprofile","Retest","Automated"
"C31292","61s","INWK.EStore.srprofile","Retest","Automated"
"C31292","","INWK.EStore.srprofile","","Automated"
"C31293","62s","INWK.EStore.srprofile","Passed","Automated"
"C31293","","INWK.EStore.srprofile","","Automated"
"C4667","80s","INWK.EStore.srprofile","Passed","Automated"
"C4667","","INWK.EStore.srprofile","","Automated"
"C","148s","INWK.EStore.srprofile","Passed","Automated"
"C","186s","INWK.EStore.srprofile","Retest","Automated"
"C","182s","INWK.EStore.srprofile","Retest","Automated"
"C","","INWK.EStore.srprofile","","Automated"
"C4668","601s","","Passed","Manual Only"
"C4668","","","","Manual Only"
"C2771","123s","","Passed","Manual Only"
"C2771","","","","Manual Only"
"C2773","130s","","Passed","Manual Only"
"C2773","","","","Manual Only"
"C31284","47s","INWK.EStore.srprofile","Passed","Automated"
"C31284","43s","INWK.EStore.srprofile","Retest","Automated"
"C31284","48s","INWK.EStore.srprofile","Retest","Automated"
"C31284","","INWK.EStore.srprofile","","Automated"
"C3100","178s","INWK.EStore.srprofile","Passed","Automated"
"C3100","109s","INWK.EStore.srprofile","Retest","Automated"
"C3100","42s","INWK.EStore.srprofile","Retest","Automated"
"C3100","104s","INWK.EStore.srprofile","Retest","Automated"
"C3100","104s","INWK.EStore.srprofile","Retest","Automated"
"C3100","171s","INWK.EStore.srprofile","Retest","Automated"
"C3100","","INWK.EStore.srprofile","","Automated"
"C3101","1129s","","Passed","Manual Only"
"C3101","","","","Manual Only"
"C3102","180s","","Passed","Manual Only"
"C3102","4529s","","Failed","Manual Only"
"C3102","","","","Manual Only"
"C3107","8160s","","Passed","Manual Only"
"C3107","","","Blocked","Manual Only"
"C3107","","","","Manual Only"
"C3108","744s","","Passed","Manual Only"
"C3108","","","Blocked","Manual Only"
"C3108","","","","Manual Only"
"C3103","318s","","Passed","Manual Only"
"C3103","","","Blocked","Manual Only"
"C3103","","","","Manual Only"
"C3104","1385s","","Passed","Manual Only"
"C3104","","","Blocked","Manual Only"
"C3104","","","","Manual Only"
"C3105","802s","","Passed","Manual Only"
"C3105","","","","Manual Only"
"C31295","60s","","Passed","Manual Only"
"C31295","","","","Manual Only"
"C31296","325s","","Passed","Manual Only"
"C31296","","","","Manual Only"
"C31301","156s","","Passed","Manual Only"
"C31301","","","","Manual Only"
"C31297","86s","INWK.EStore.srprofile","Passed","Automated"
"C31297","40s","INWK.EStore.srprofile","Retest","Automated"
"C31297","40s","INWK.EStore.srprofile","Retest","Automated"
"C31297","","INWK.EStore.srprofile","","Automated"
"C31298","94s","INWK.EStore.srprofile","Passed","Automated"
"C31298","41s","INWK.EStore.srprofile","Retest","Automated"
"C31298","39s","INWK.EStore.srprofile","Retest","Automated"
"C31298","","INWK.EStore.srprofile","","Automated"
"C31299","314s","","Passed","Manual Only"
"C31299","","","","Manual Only"
"C31300","180s","","Passed","Manual Only"
"C31300","","","","Manual Only"
"C31302","795s","","Passed","Manual Only"
"C31302","","","","Manual Only"
"C31303","43s","INWK.EStore.srprofile","Passed","Automated"
"C31303","30s","INWK.EStore.srprofile","Retest","Automated"
"C31303","33s","INWK.EStore.srprofile","Retest","Automated"
"C31303","","INWK.EStore.srprofile","","Automated"
"C31304","310s","","Passed","Manual Only"
"C31304","","","","Manual Only"
"C31305","319s","INWK.EStore.srprofile","Passed","Automated"
"C31305","325s","INWK.EStore.srprofile","Retest","Automated"
"C31305","","INWK.EStore.srprofile","","Automated"
"C31306","85s","INWK.EStore.srprofile","Passed","Automated"
"C31306","","INWK.EStore.srprofile","","Automated"
"C43268","176s","INWK.EStore.srprofile","Passed","Automated"
"C43268","104s","INWK.EStore.srprofile","Retest","Automated"
"C43268","34s","INWK.EStore.srprofile","Retest","Automated"
"C43268","108s","INWK.EStore.srprofile","Retest","Automated"
"C43268","105s","INWK.EStore.srprofile","Retest","Automated"
"C43268","172s","INWK.EStore.srprofile","Retest","Automated"
"C43268","","INWK.EStore.srprofile","","Automated"
"C51921","415s","INWK.EStore.srprofile","Passed","Automated"
"C51921","329s","INWK.EStore.srprofile","Retest","Automated"
"C51921","323s","INWK.EStore.srprofile","Retest","Automated"
"C51921","","INWK.EStore.srprofile","","Automated"
"C43264","73s","INWK.EStore.srprofile","Passed","Automated"
"C43264","36s","INWK.EStore.srprofile","Retest","Automated"
"C43264","37s","INWK.EStore.srprofile","Retest","Automated"
"C43264","","INWK.EStore.srprofile","","Automated"
"C42221","104s","INWK.EStore.srprofile","Passed","Automated"
"C42221","39s","INWK.EStore.srprofile","Retest","Automated"
"C42221","39s","INWK.EStore.srprofile","Retest","Automated"
"C42221","","INWK.EStore.srprofile","","Automated"
