sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C31294","458s","","Passed","Manual Only"
"C31294","","","","Manual Only"
"C31285","433s","","Passed","Manual Only"
"C31285","","","","Manual Only"
"C31287","725s","","Passed","Manual Only"
"C31287","","","","Manual Only"
"C31288","267s","","Passed","Manual Only"
"C31288","","","","Manual Only"
"C31289","269s","","Passed","Manual Only"
"C31289","","","","Manual Only"
"C31290","53s","","Passed","Manual Only"
"C31290","","","","Manual Only"
"C34056","178s","","Passed","Manual Only"
"C34056","","","","Manual Only"
"C31286","506s","","Passed","Manual Only"
"C31286","","","","Manual Only"
"C64134","278s","","Passed","Manual Only"
"C64134","","","","Manual Only"
"C31291","16s","","Passed","Manual Only"
"C31291","","","","Manual Only"
"C31292","78s","INWK.EStore.srprofile","Passed","Automated"
"C31292","","INWK.EStore.srprofile","","Automated"
"C31293","57s","INWK.EStore.srprofile","Passed","Automated"
"C31293","87s","INWK.EStore.srprofile","Retest","Automated"
"C31293","","INWK.EStore.srprofile","","Automated"
"C4667","95s","INWK.EStore.srprofile","Passed","Automated"
"C4667","","INWK.EStore.srprofile","","Automated"
"C","168s","INWK.EStore.srprofile","Passed","Automated"
"C","199s","INWK.EStore.srprofile","Retest","Automated"
"C","","INWK.EStore.srprofile","","Automated"
"C4668","261s","","Passed","Manual Only"
"C4668","","","","Manual Only"
"C2771","11s","","Passed","Manual Only"
"C2771","","","","Manual Only"
"C2773","9s","","Passed","Manual Only"
"C2773","","","","Manual Only"
"C31284","45s","INWK.EStore.srprofile","Passed","Automated"
"C31284","74s","INWK.EStore.srprofile","Retest","Automated"
"C31284","","INWK.EStore.srprofile","","Automated"
"C3100","204s","INWK.EStore.srprofile","Passed","Automated"
"C3100","","INWK.EStore.srprofile","","Automated"
"C3101","338s","","Passed","Manual Only"
"C3101","","","","Manual Only"
"C3102","411s","","Passed","Manual Only"
"C3102","","","","Manual Only"
"C3107","1493s","","Passed","Manual Only"
"C3107","","","","Manual Only"
"C3108","261s","","Passed","Manual Only"
"C3108","","","","Manual Only"
"C3103","387s","","Passed","Manual Only"
"C3103","","","","Manual Only"
"C3104","410s","","Passed","Manual Only"
"C3104","","","","Manual Only"
"C3105","940s","","Passed","Manual Only"
"C3105","","","","Manual Only"
"C31295","3s","","Passed","Manual Only"
"C31295","","","","Manual Only"
"C31296","62s","","Passed","Manual Only"
"C31296","","","","Manual Only"
"C31301","40s","","Passed","Manual Only"
"C31301","","","","Manual Only"
"C31297","122s","INWK.EStore.srprofile","Passed","Automated"
"C31297","92s","INWK.EStore.srprofile","Retest","Automated"
"C31297","120s","INWK.EStore.srprofile","Retest","Automated"
"C31297","94s","INWK.EStore.srprofile","Retest","Automated"
"C31297","","INWK.EStore.srprofile","","Automated"
"C31298","161s","INWK.EStore.srprofile","Passed","Automated"
"C31298","127s","INWK.EStore.srprofile","Retest","Automated"
"C31298","136s","INWK.EStore.srprofile","Retest","Automated"
"C31298","127s","INWK.EStore.srprofile","Retest","Automated"
"C31298","","INWK.EStore.srprofile","","Automated"
"C31299","144s","","Passed","Manual Only"
"C31299","","","","Manual Only"
"C31300","9s","","Passed","Manual Only"
"C31300","","","","Manual Only"
"C31302","730s","","Passed","Manual Only"
"C31302","","","","Manual Only"
"C31303","79s","INWK.EStore.srprofile","Passed","Automated"
"C31303","183s","INWK.EStore.srprofile","Retest","Automated"
"C31303","182s","INWK.EStore.srprofile","Retest","Automated"
"C31303","","INWK.EStore.srprofile","","Automated"
"C31304","163s","","Passed","Manual Only"
"C31304","","","","Manual Only"
"C31305","306s","INWK.EStore.srprofile","Passed","Automated"
"C31305","","INWK.EStore.srprofile","","Automated"
"C31306","204s","INWK.EStore.srprofile","Passed","Automated"
"C31306","","INWK.EStore.srprofile","","Automated"
"C","265s","","Passed","Manual Only"
"C","","","","Manual Only"
"C43268","155s","INWK.EStore.srprofile","Passed","Automated"
"C43268","","INWK.EStore.srprofile","","Automated"
"C51921","510s","INWK.EStore.srprofile","Passed","Automated"
"C51921","","INWK.EStore.srprofile","","Automated"
"C43264","71s","INWK.EStore.srprofile","Passed","Automated"
"C43264","","INWK.EStore.srprofile","","Automated"
"C42221","164s","INWK.EStore.srprofile","Passed","Automated"
"C42221","","INWK.EStore.srprofile","","Automated"
"C43207","2481s","INWK.EStore.srprofile","Passed","Automated"
"C43207","345s","INWK.EStore.srprofile","Retest","Automated"
"C43207","344s","INWK.EStore.srprofile","Retest","Automated"
"C43207","","INWK.EStore.srprofile","","Automated"
"C43358","943s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43358","","INWK.EStore.srprofile","","To Be Automated"
"C42232","55s","INWK.EStore.srprofile","Passed","Automated"
"C42232","","INWK.EStore.srprofile","","Automated"
"C43209","1176s","INWK.EStore.srprofile","Passed","Automated"
"C43209","402s","INWK.EStore.srprofile","Retest","Automated"
"C43209","372s","INWK.EStore.srprofile","Retest","Automated"
"C43209","383s","INWK.EStore.srprofile","Retest","Automated"
"C43209","342s","INWK.EStore.srprofile","Retest","Automated"
"C43209","354s","INWK.EStore.srprofile","Retest","Automated"
"C43209","","INWK.EStore.srprofile","","Automated"
"C43359","1261s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43359","","INWK.EStore.srprofile","","To Be Automated"
"C42233","61s","INWK.EStore.srprofile","Passed","Automated"
"C42233","","INWK.EStore.srprofile","","Automated"
"C43211","1460s","INWK.EStore.srprofile","Passed","Automated"
"C43211","343s","INWK.EStore.srprofile","Retest","Automated"
"C43211","349s","INWK.EStore.srprofile","Retest","Automated"
"C43211","","INWK.EStore.srprofile","","Automated"
"C43360","1255s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43360","","INWK.EStore.srprofile","","To Be Automated"
"C42234","56s","INWK.EStore.srprofile","Passed","Automated"
"C42234","","INWK.EStore.srprofile","","Automated"
"C43217","807s","INWK.EStore.srprofile","Passed","Automated"
"C43217","","INWK.EStore.srprofile","","Automated"
"C43367","952s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43367","","INWK.EStore.srprofile","","To Be Automated"
"C43563","475s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43563","","INWK.EStore.srprofile","","To Be Automated"
"C43212","27s","INWK.EStore.srprofile","Passed","Automated"
"C43212","","INWK.EStore.srprofile","","Automated"
"C43214","56s","","Passed","Manual Only"
"C43214","","","","Manual Only"
"C43265","328s","INWK.EStore.srprofile","Passed","Automated"
"C43265","396s","INWK.EStore.srprofile","Retest","Automated"
"C43265","398s","INWK.EStore.srprofile","Retest","Automated"
"C43265","","INWK.EStore.srprofile","","Automated"
"C48465","60s","INWK.EStore.srprofile","Passed","Automated"
"C48465","","INWK.EStore.srprofile","","Automated"
"C2781","40s","INWK.EStore.srprofile","Passed","Automated"
"C2781","","INWK.EStore.srprofile","","Automated"
"C31307","133s","","Passed","Manual Only"
"C31307","","","","Manual Only"
"C31309","77s","INWK.EStore.srprofile","Passed","Automated"
"C31309","","INWK.EStore.srprofile","","Automated"
"C17978","1323s","","Passed","Manual Only"
"C17978","","","","Manual Only"
"C17980","144s","","Passed","Manual Only"
"C17980","","","","Manual Only"
"C17979","246s","","Passed","Manual Only"
"C17979","","","","Manual Only"
"C17981","47s","","Passed","Manual Only"
"C17981","","","","Manual Only"
"C2843","392s","INWK.EStore.srprofile","Passed","Automated"
"C2843","","INWK.EStore.srprofile","","Automated"
"C2821","139s","INWK.EStore.srprofile","Passed","Automated"
"C2821","205s","INWK.EStore.srprofile","Retest","Automated"
"C2821","","INWK.EStore.srprofile","","Automated"
"C2820","32s","","Passed","Manual Only"
"C2820","","","","Manual Only"
"C2823","8s","","Passed","Manual Only"
"C2823","","","","Manual Only"
"C2825","640s","","Passed","Manual Only"
"C2825","","","","Manual Only"
"C56844","176s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56844","","INWK.EStore.srprofile","","To Be Automated"
"C56845","49s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56845","","INWK.EStore.srprofile","","To Be Automated"
"C2826","55s","INWK.EStore.srprofile","Passed","Automated"
"C2826","","INWK.EStore.srprofile","","Automated"
"C2828","232s","","Passed","Manual Only"
"C2828","","","","Manual Only"
"C2830","46s","","Passed","Manual Only"
"C2830","","","","Manual Only"
"C2831","20s","","Passed","Manual Only"
"C2831","","","","Manual Only"
"C5556","43s","INWK.EStore.srprofile","Passed","Automated"
"C5556","","INWK.EStore.srprofile","","Automated"
"C56839","153s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56839","","INWK.EStore.srprofile","","To Be Automated"
"C56840","14s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56840","","INWK.EStore.srprofile","","To Be Automated"
"C2835","525s","INWK.EStore.srprofile","Passed","Automated"
"C2835","","INWK.EStore.srprofile","","Automated"
"C2836","533s","INWK.EStore.srprofile","Passed","Automated"
"C2836","","INWK.EStore.srprofile","","Automated"
"C56859","361s","INWK.EStore.srprofile","Passed","Automated"
"C56859","224s","INWK.EStore.srprofile","Retest","Automated"
"C56859","","INWK.EStore.srprofile","","Automated"
"C56860","351s","INWK.EStore.srprofile","Passed","Automated"
"C56860","226s","INWK.EStore.srprofile","Retest","Automated"
"C56860","","INWK.EStore.srprofile","","Automated"
"C56861","531s","","Passed","Manual Only"
"C56861","","","","Manual Only"
"C56864","664s","","Passed","Manual Only"
"C56864","","","","Manual Only"
"C","583s","","Passed","To Be Automated"
"C","","","","To Be Automated"
"C105657","469s","","Passed","To Be Automated"
"C105657","","","","To Be Automated"
"C105658","54s","","Passed","To Be Automated"
"C105658","","","Passed","To Be Automated"
"C105658","","","","To Be Automated"
"C105659","1s","","Passed","To Be Automated"
"C105659","","","","To Be Automated"
"C105660","33s","","Passed","To Be Automated"
"C105660","","","","To Be Automated"
"C31311","141s","INWK.EStore.srprofile","Passed","Automated"
"C31311","","INWK.EStore.srprofile","","Automated"
"C31312","194s","INWK.EStore.srprofile","Passed","Automated"
"C31312","","INWK.EStore.srprofile","","Automated"
"C","228s","INWK.EStore.srprofile","Passed","Automated"
"C","161s","INWK.EStore.srprofile","Retest","Automated"
"C","","INWK.EStore.srprofile","","Automated"
"C","104s","INWK.EStore.srprofile","Passed","Automated"
"C","","INWK.EStore.srprofile","","Automated"
"C","167s","INWK.EStore.srprofile","Passed","Automated"
"C","","INWK.EStore.srprofile","","Automated"
"C2888","114s","","Passed","Manual Only"
"C2888","","","","Manual Only"
"C2889","104s","INWK.EStore.srprofile","Passed","Automated"
"C2889","","INWK.EStore.srprofile","","Automated"
"C2890","79s","INWK.EStore.srprofile","Passed","Automated"
"C2890","","INWK.EStore.srprofile","","Automated"
"C31322","394s","INWK.EStore.srprofile","Passed","Automated"
"C31322","","INWK.EStore.srprofile","","Automated"
"C","","","Untested","To Be Automated"
"C122120","","","Untested","To Be Automated"
"C122121","","","Untested","To Be Automated"
"C122122","","","Untested","To Be Automated"
"C","611s","INWK.EStore.srprofile","Passed","Automated"
"C","674s","INWK.EStore.srprofile","Retest","Automated"
"C","","INWK.EStore.srprofile","","Automated"
"C2892","405s","INWK.EStore.srprofile","Passed","Automated"
"C2892","","INWK.EStore.srprofile","","Automated"
"C2893","407s","INWK.EStore.srprofile","Passed","Automated"
"C2893","","INWK.EStore.srprofile","","Automated"
"C2895","19s","","Passed","Manual Only"
"C2895","","","","Manual Only"
"C","43s","","Passed","Manual Only"
"C","","","","Manual Only"
"C31334","719s","","Passed","Manual Only"
"C31334","","","","Manual Only"
"C31329","485s","","Passed","Manual Only"
"C31329","","","","Manual Only"
"C31330","159s","","Passed","Manual Only"
"C31330","","","","Manual Only"
"C31331","631s","INWK.EStore.srprofile","Passed","Automated"
"C31331","213s","INWK.EStore.srprofile","Retest","Automated"
"C31331","213s","INWK.EStore.srprofile","Retest","Automated"
"C31331","217s","INWK.EStore.srprofile","Retest","Automated"
"C31331","","INWK.EStore.srprofile","","Automated"
"C31333","353s","INWK.EStore.srprofile","Passed","Automated"
"C31333","","INWK.EStore.srprofile","","Automated"
"C31335","396s","INWK.EStore.srprofile","Passed","Automated"
"C31335","","INWK.EStore.srprofile","","Automated"
"C31336","399s","INWK.EStore.srprofile","Passed","Automated"
"C31336","","INWK.EStore.srprofile","","Automated"
"C31337","444s","INWK.EStore.srprofile","Passed","Automated"
"C31337","21s","INWK.EStore.srprofile","Retest","Automated"
"C31337","","INWK.EStore.srprofile","","Automated"
"C","670s","","Passed","Manual Only"
"C","","","","Manual Only"
"C","677s","","Passed","Manual Only"
"C","","","","Manual Only"
"C56854","142s","","Passed","Manual Only"
"C56854","","","","Manual Only"
"C56855","1006s","INWK.EStore.srprofile","Passed","Automated"
"C56855","558s","INWK.EStore.srprofile","Retest","Automated"
"C56855","574s","INWK.EStore.srprofile","Retest","Automated"
"C56855","558s","INWK.EStore.srprofile","Retest","Automated"
"C56855","198s","INWK.EStore.srprofile","Retest","Automated"
"C56855","","INWK.EStore.srprofile","","Automated"
"C122169","","","Untested","To Be Automated"
"C122170","","","Untested","To Be Automated"
"C31323","786s","INWK.EStore.srprofile","Passed","Automated"
"C31323","247s","INWK.EStore.srprofile","Retest","Automated"
"C31323","","INWK.EStore.srprofile","","Automated"
"C31324","228s","INWK.EStore.srprofile","Passed","Automated"
"C31324","126s","INWK.EStore.srprofile","Retest","Automated"
"C31324","","INWK.EStore.srprofile","","Automated"
"C31326","258s","","Passed","Manual Only"
"C31326","","","","Manual Only"
"C31327","58s","","Passed","Manual Only"
"C31327","","","","Manual Only"
"C31356","38s","","Passed","Manual Only"
"C31356","","","","Manual Only"
"C31358","167s","","Passed","Manual Only"
"C31358","","","","Manual Only"
"C31328","467s","INWK.EStore.srprofile","Passed","Automated"
"C31328","467s","INWK.EStore.srprofile","Retest","Automated"
"C31328","","INWK.EStore.srprofile","","Automated"
"C31325","283s","","Passed","Manual Only"
"C31325","","","","Manual Only"
"C2907","449s","","Passed","Manual Only"
"C2907","","","","Manual Only"
"C2908","38s","","Passed","Manual Only"
"C2908","","","","Manual Only"
"C2910","294s","","Passed","Manual Only"
"C2910","","","","Manual Only"
"C2911","183s","","Passed","Manual Only"
"C2911","","","","Manual Only"
"C2912","400s","","Passed","Manual Only"
"C2912","","","","Manual Only"
"C2913","102s","","Passed","Manual Only"
"C2913","","","","Manual Only"
"C2914","585s","","Passed","Manual Only"
"C2914","","","","Manual Only"
