sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C31294","274s","","Passed","Manual Only"
"C31294","","","","Manual Only"
"C31285","111s","","Passed","Manual Only"
"C31285","","","","Manual Only"
"C31287","369s","","Passed","Manual Only"
"C31287","","","","Manual Only"
"C31288","141s","","Passed","Manual Only"
"C31288","","","","Manual Only"
"C31289","145s","","Passed","Manual Only"
"C31289","","","","Manual Only"
"C31290","127s","","Passed","Manual Only"
"C31290","","","","Manual Only"
"C34056","99s","","Passed","Manual Only"
"C34056","","","","Manual Only"
"C31286","544s","","Passed","Manual Only"
"C31286","","","","Manual Only"
"C64134","107s","","Passed","Manual Only"
"C64134","","","","Manual Only"
"C31291","137s","","Passed","Manual Only"
"C31291","","","","Manual Only"
"C31292","79s","INWK.EStore.srprofile","Passed","Automated"
"C31292","","INWK.EStore.srprofile","","Automated"
"C31293","65s","INWK.EStore.srprofile","Passed","Automated"
"C31293","","INWK.EStore.srprofile","","Automated"
"C4667","80s","INWK.EStore.srprofile","Passed","Automated"
"C4667","","INWK.EStore.srprofile","","Automated"
"C","145s","INWK.EStore.srprofile","Passed","Automated"
"C","","INWK.EStore.srprofile","","Automated"
"C4668","456s","","Passed","Manual Only"
"C4668","","","","Manual Only"
"C2771","134s","","Passed","Manual Only"
"C2771","","","","Manual Only"
"C2773","57s","","Passed","Manual Only"
"C2773","","","","Manual Only"
"C31284","49s","INWK.EStore.srprofile","Passed","Automated"
"C31284","","INWK.EStore.srprofile","","Automated"
"C3100","155s","INWK.EStore.srprofile","Passed","Automated"
"C3100","","INWK.EStore.srprofile","","Automated"
"C3101","258s","","Passed","Manual Only"
"C3101","","","","Manual Only"
"C3102","1242s","","Passed","Manual Only"
"C3102","","","","Manual Only"
"C3107","1564s","","Passed","Manual Only"
"C3107","","","","Manual Only"
"C3108","772s","","Passed","Manual Only"
"C3108","","","","Manual Only"
"C3103","267s","","Passed","Manual Only"
"C3103","","","","Manual Only"
"C3104","899s","","Passed","Manual Only"
"C3104","","","","Manual Only"
"C3105","886s","","Passed","Manual Only"
"C3105","","","","Manual Only"
"C31295","20s","","Passed","Manual Only"
"C31295","","","","Manual Only"
"C31296","67s","","Passed","Manual Only"
"C31296","","","","Manual Only"
"C31301","58s","","Passed","Manual Only"
"C31301","","","","Manual Only"
"C31297","97s","INWK.EStore.srprofile","Passed","Automated"
"C31297","","INWK.EStore.srprofile","","Automated"
"C31298","99s","INWK.EStore.srprofile","Passed","Automated"
"C31298","","INWK.EStore.srprofile","","Automated"
"C31299","145s","","Passed","Manual Only"
"C31299","","","","Manual Only"
"C31300","37s","","Passed","Manual Only"
"C31300","","","","Manual Only"
"C31302","444s","","Passed","Manual Only"
"C31302","","","","Manual Only"
"C31303","49s","INWK.EStore.srprofile","Passed","Automated"
"C31303","","INWK.EStore.srprofile","","Automated"
"C31304","40s","","Passed","Manual Only"
"C31304","","","","Manual Only"
"C31305","295s","INWK.EStore.srprofile","Passed","Automated"
"C31305","","INWK.EStore.srprofile","","Automated"
"C31306","77s","INWK.EStore.srprofile","Passed","Automated"
"C31306","","INWK.EStore.srprofile","","Automated"
"C","197s","","Passed","Manual Only"
"C","","","","Manual Only"
"C43268","166s","INWK.EStore.srprofile","Passed","Automated"
"C43268","","INWK.EStore.srprofile","","Automated"
"C51921","349s","INWK.EStore.srprofile","Passed","Automated"
"C51921","","INWK.EStore.srprofile","","Automated"
"C43264","76s","INWK.EStore.srprofile","Passed","Automated"
"C43264","","INWK.EStore.srprofile","","Automated"
"C42221","86s","INWK.EStore.srprofile","Passed","Automated"
"C42221","","INWK.EStore.srprofile","","Automated"
"C43207","2117s","INWK.EStore.srprofile","Passed","Automated"
"C43207","1110s","INWK.EStore.srprofile","Retest","Automated"
"C43207","151s","INWK.EStore.srprofile","Retest","Automated"
"C43207","","INWK.EStore.srprofile","","Automated"
"C43358","1971s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43358","","INWK.EStore.srprofile","","To Be Automated"
"C42232","39s","INWK.EStore.srprofile","Passed","Automated"
"C42232","","INWK.EStore.srprofile","","Automated"
"C43209","915s","INWK.EStore.srprofile","Passed","Automated"
"C43209","896s","INWK.EStore.srprofile","Retest","Automated"
"C43209","857s","INWK.EStore.srprofile","Retest","Automated"
"C43209","53s","INWK.EStore.srprofile","Retest","Automated"
"C43209","216s","INWK.EStore.srprofile","Retest","Automated"
"C43209","","INWK.EStore.srprofile","","Automated"
"C43359","4179s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43359","","INWK.EStore.srprofile","","To Be Automated"
