sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C43360","","INWK.EStore.srprofile","Passed","To Be Automated"
"C43360","","INWK.EStore.srprofile","","To Be Automated"
"C42234","87s","INWK.EStore.srprofile","Passed","Automated"
"C42234","61s","INWK.EStore.srprofile","Retest","Automated"
"C42234","","INWK.EStore.srprofile","","Automated"
"C43217","846s","INWK.EStore.srprofile","Passed","Automated"
"C43217","","INWK.EStore.srprofile","","Automated"
"C43367","","INWK.EStore.srprofile","Passed","To Be Automated"
"C43367","","INWK.EStore.srprofile","","To Be Automated"
"C43563","","INWK.EStore.srprofile","Passed","To Be Automated"
"C43563","","INWK.EStore.srprofile","","To Be Automated"
"C43212","56s","INWK.EStore.srprofile","Passed","Automated"
"C43212","","INWK.EStore.srprofile","","Automated"
"C43214","","","Passed","Manual Only"
"C43214","","","","Manual Only"
"C43265","312s","INWK.EStore.srprofile","Passed","Automated"
"C43265","445s","INWK.EStore.srprofile","Retest","Automated"
"C43265","448s","INWK.EStore.srprofile","Retest","Automated"
"C43265","448s","INWK.EStore.srprofile","Retest","Automated"
"C43265","448s","INWK.EStore.srprofile","Retest","Automated"
"C43265","","INWK.EStore.srprofile","","Automated"
"C48465","90s","INWK.EStore.srprofile","Passed","Automated"
"C48465","","INWK.EStore.srprofile","","Automated"
"C2781","67s","INWK.EStore.srprofile","Passed","Automated"
"C2781","","INWK.EStore.srprofile","","Automated"
"C31307","","","Passed","Manual Only"
"C31307","","","","Manual Only"
"C31307","","","","Manual Only"
"C31309","107s","INWK.EStore.srprofile","Passed","Automated"
"C31309","","INWK.EStore.srprofile","","Automated"
"C17978","","","Passed","Manual Only"
"C17978","","","","Manual Only"
"C17980","","","Passed","Manual Only"
"C17980","","","","Manual Only"
"C17979","","","Passed","Manual Only"
"C17979","","","","Manual Only"
"C17981","","","Passed","Manual Only"
"C17981","","","","Manual Only"
"C2843","495s","INWK.EStore.srprofile","Passed","Automated"
"C2843","","INWK.EStore.srprofile","","Automated"
"C2821","141s","INWK.EStore.srprofile","Passed","Automated"
"C2821","","INWK.EStore.srprofile","","Automated"
